-5,-0.03906
-4.7,0.069228
-4.4,0.015234
-4.1,-0.028266
-3.8,0.0050728
-3.5,-0.082142		
-3.2,0.032661
-2.9,-0.0096642
-2.6,0.0012135
-2.3,0.015774
-2,0.022492
-1.7,0.086954
-1.4,-0.00064477
-1.1,0.03766
-0.8,0.060975
-0.5,0.10384
-0.2,0.20148
0.1,0.2482
0.4,0.31073
0.7,0.38253
1,0.25846
1.3,0.29108
1.6,0.24539
1.9,0.26416
2.2,0.22587
2.5,0.17541
2.8,0.051507
3.1,0.037023
3.4,0.048614
3.7,0.042299
4,0.11492
4.3,0.079578
4.6,0.17847
4.9,0.21959
5.2,0.22774
5.5,0.35286
5.8,0.30784
6.1,0.31903
6.4,0.41594
6.7,0.36237
7,0.16091
7.3,0.20511
7.6,0.12024
7.9,0.097553
8.2,0.025909
8.5,-0.0071828
8.8,0.011013
9.1,0.047988
9.4,-0.038837
9.7,-0.062913
